[18.10.2014 1:05:25] Error:No connection available to the PLC  (4808)
[18.10.2014 1:05:20] PVI service connected
[18.10.2014 1:00:11] Error:No connection available to the PLC  (4808)
[18.10.2014 1:00:06] PVI service connected
[18.10.2014 0:59:27] Error:No connection available to the PLC  (4808)
[18.10.2014 0:59:27] PVI service connected
[18.10.2014 0:57:53] Error:No connection available to the PLC  (4808)
[18.10.2014 0:57:48] PVI service connected
[18.10.2014 0:45:37] Error:No connection available to the PLC  (4808)
[18.10.2014 0:45:32] PVI service connected
[18.10.2014 0:44:07] Error:No connection available to the PLC  (4808)
[18.10.2014 0:44:01] PVI service connected
[18.10.2014 0:10:35] Error:No connection available to the PLC  (4808)
[18.10.2014 0:10:30] PVI service connected
[18.10.2014 0:10:29] PVI service connecting ...
[18.10.2014 0:10:29] PVI service connecting ...
[18.10.2014 0:10:30] PVI CPU connecting ...
[18.10.2014 0:44:01] PVI service connecting ...
[18.10.2014 0:44:01] PVI CPU connecting ...
[18.10.2014 0:45:32] PVI service connecting ...
[18.10.2014 0:45:32] PVI CPU connecting ...
[18.10.2014 0:57:48] PVI service connecting ...
[18.10.2014 0:57:48] PVI CPU connecting ...
[18.10.2014 0:59:26] PVI service connecting ...
[18.10.2014 0:59:27] PVI CPU connecting ...
[18.10.2014 1:00:05] PVI service connecting ...
[18.10.2014 1:00:06] PVI CPU connecting ...
[18.10.2014 1:05:20] PVI service connecting ...
[18.10.2014 1:05:20] PVI CPU connecting ...
